Country, Year, Rate
Switzerland,2012,52.3
Switzerland,2013,54.9
Switzerland,2014,51.8
Switzerland,2015,56.7
Switzerland,2016,51.1
Switzerland,2017,56.1
Switzerland,2018,54.5
Switzerland,2019,54.5
United Kingdom,2010,35.2
United Kingdom,2011,50.8
United Kingdom,2012,58.6
United Kingdom,2013,61.3
United Kingdom,2014,63.9
United Kingdom,2015,73.7
United Kingdom,2016,71.6
United Kingdom,2017,74.3
United Kingdom,2018,75.3
United Kingdom,2019,66.7
United States,2010,43.9
United States,2011,47.9
United States,2012,52.9
United States,2013,55.2
United States,2014,52.5
United States,2015,45.9
United States,2016,43.8
United States,2017,43.9
United States,2018,43.1
United States,2019,42
